symbol,name,cmp,pe,mar_cap_cr,div_yld_pct,np_qtr_cr,qtr_profit_var_pct,sales_qtr_cr,qtr_sales_var_pct,roce_pct,debt_eq,yf_symbol,fyers_symbol
ONESOURCEINDUS,Onesource Indus.,7.9,142.06,410.53,0.0,1.42,173.08,31.32,111.05,42.03,0.0,,
PREMIERPOLYFILM,Premier Polyfilm,44.4,17.69,465.06,0.35,8.01,1.91,73.6,4.4,29.86,0.0,,
STARLINEPSENTER,Starlineps Enter,3.63,45.01,131.83,0.0,1.57,-51.69,36.86,50.88,29.76,0.26,,
KENTER,Ken Enter.,46.7,9.0,114.72,0.0,5.55,,272.84,,28.13,0.37,,
AJANTASOYA,Ajanta Soya,29.17,10.71,234.77,0.0,5.27,-33.46,346.93,14.16,26.76,0.02,,
TIGERLOGISTICS,Tiger Logistics,38.57,14.47,407.79,0.0,8.62,14.32,168.73,5.34,26.69,0.32,,
GEEKAYWIRES,Geekay Wires,32.92,10.58,344.08,0.99,8.35,-9.24,124.21,0.31,25.36,0.75,,
BAROEXT,Baroda Extrusion,7.22,29.17,140.35,0.0,1.25,2400.0,44.2,23.95,23.98,0.28,BAROEXT.BO,BSE:BAROEXT-EQ
FCL,Fineotex Chem,25.37,29.94,2941.67,0.31,26.08,-18.4,137.71,-5.5,23.76,0.0,FCL.NS,NSE:FCL-EQ
MCLOUD,Magellanic Cloud,28.18,15.46,1659.99,0.11,27.62,14.43,164.44,4.54,22.91,0.47,MCLOUD.NS,NSE:MCLOUD-EQ
BTML,Bodhi Tree,8.59,23.1,155.05,0.0,3.05,46.93,23.4,67.02,22.43,0.32,BTML.NS,NSE:BTML-EQ
BHATIA,Bhatia Communic.,27.1,25.52,352.72,0.15,3.73,1.91,134.34,25.18,21.81,0.34,BHATIA.BO,BSE:BHATIA-EQ
SHUKRAPHARMA,Shukra Pharma.,40.34,147.68,1766.38,0.02,2.38,340.74,5.88,5.76,21.8,0.06,,
EASYTRIPPLANN,Easy Trip Plann.,7.84,52.76,2851.31,0.0,-36.04,-85.52,118.34,-18.2,20.89,0.04,,
TUNWAL,Tunwal E-Motors,41.8,16.1,241.15,0.23,8.5,57.99,144.39,93.99,19.92,0.27,TUNWAL.NS,NSE:TUNWAL-EQ
SYNCOMF,Syncom Formul.,15.02,22.46,1411.88,0.0,16.84,53.79,121.44,19.66,18.59,0.0,SYNCOMF.NS,NSE:SYNCOMF-EQ
ABINFRABUILD,A B Infrabuild,18.69,60.88,1193.91,0.03,2.13,-43.58,37.3,-21.02,18.43,0.29,,
CENTURYEXTRUS,Century Extrus.,21.51,16.8,172.08,0.0,2.76,15.97,109.66,2.97,18.3,0.86,,
IRISCLOTHINGS,Iris Clothings,32.87,46.01,625.62,0.0,4.12,7.29,44.32,7.42,17.89,0.21,,
SHRADHAAITECH,Shradha AI Tech,34.9,18.39,212.73,1.71,2.77,6.95,4.43,25.14,17.45,0.01,,
ULTRACABINDIA,Ultracab India,8.41,12.44,103.41,0.0,1.52,-39.44,57.66,3.8,17.41,0.33,,
APISINDIA,Apis India,46.11,27.63,635.17,0.0,7.14,31.98,96.25,19.67,17.1,0.3,,
LORENZINIAPPAR,Lorenzini Appar.,9.39,,162.2,0.0,1.42,-88.33,17.07,30.8,17.01,0.26,,
NOVAAGRI,Nova Agritech,41.93,14.71,387.94,0.0,6.76,-0.15,92.39,11.73,16.39,0.23,NOVAAGRI.NS,NSE:NOVAAGRI-EQ
PARAMOUNTCOMM,Paramount Comm.,35.83,14.94,1092.93,0.0,13.25,-34.83,428.0,20.26,16.3,0.14,,
MINIDIAMONDSI,Mini Diamonds(I),27.0,76.7,318.17,0.0,2.78,35.61,149.44,43.71,16.19,0.03,,
MADHAVINFRA,Madhav Infra,11.45,8.85,308.67,0.0,12.46,200.72,106.82,23.11,15.65,0.81,,
MAXIMUSINTERNA,Maximus Interna.,11.25,15.43,153.04,0.0,2.79,30.05,45.84,27.9,15.59,0.35,,
BEARDSELL,Beardsell,29.73,12.56,117.25,0.34,2.05,-35.13,71.01,3.68,15.56,0.36,BEARDSELL.NS,NSE:BEARDSELL-EQ
SIGACHIINDUST,Sigachi Indust.,34.54,21.73,1319.84,0.29,10.53,-70.94,110.48,-11.55,15.54,0.29,,
PATELENGINEERIN,Patel Engineerin,31.35,8.0,3110.36,0.0,73.03,15.13,1208.47,2.91,15.43,0.4,,
UNITEDPOLYFAB,United Polyfab,39.38,40.21,903.83,0.0,7.6,52.92,185.22,16.72,15.11,0.9,,
KRITIKAWIRES,Kritika Wires,7.75,21.74,206.37,0.0,1.14,6.15,179.63,13.26,15.11,0.4,,
MOREPENLAB,Morepen Labs.,42.0,30.49,2301.41,0.47,41.04,-49.02,411.58,-5.97,15.08,0.13,MOREPENLAB.NS,NSE:MOREPENLAB-EQ
